date,hexsha,author,insertions,deletions,lines,files,files_json
2020-08-15 20:14:53,ed5918771fcf9877d8445e74c62ab1ce6b8e28c1,Bram Moolenaar,175,57,232,9,
2020-08-15 19:10:16,11107bab7ead9124f46a7ddf6aa3bb66b43a8246,Bram Moolenaar,183,24,207,9,
2020-08-15 16:55:18,3d1cde8a2f28dce2c82d2b2b4c5e35e6662030e0,Bram Moolenaar,9035,137,9172,39,
2020-08-15 16:39:05,e3c37d8ebf9dbbf210fde4a5fb28eb1f2a492a34,Bram Moolenaar,78,24,102,6,
2020-08-15 14:33:28,451c2e3536a3cb77d07faf3cb2b834512e174351,Bram Moolenaar,369,182,551,18,
2020-08-15 12:31:20,53b29e4845857d76ca7df1ff2fd0e03c3eeb82e1,Bram Moolenaar,14,1,15,3,
2020-08-15 12:07:23,9a5c553f790f74e4c36295ce5d46c1aa7d13eae6,Bram Moolenaar,6,3,9,3,
2020-08-15 11:49:17,793dcc540d96557919ae7dff9b2b3e21386a2e88,Bram Moolenaar,7,0,7,2,
2020-08-14 21:08:22,1623619119547142d94ddee4a75adc92304e55e9,Bram Moolenaar,6,4,10,2,
2020-08-14 20:44:25,d1103587cf339feb8c77d282f7f7e92b7cff5add,Bram Moolenaar,12,2,14,3,
2020-08-14 20:16:33,79e8db9a218ef111934594024a5cd8b1f93acada,Bram Moolenaar,17,1,18,4,
2020-08-14 19:49:08,8de2f44ac6af2276587a2e44a0d5fe1dc6789eb3,Bram Moolenaar,3,0,3,2,
2020-08-14 19:42:54,8d56622944d563a79676e99532bd372b2bc6fa1f,Bram Moolenaar,2,11,13,2,
2020-08-14 19:27:37,41fab3eac80893fd203663fc6a7ded09b04b633f,Bram Moolenaar,55,2,57,3,
2020-08-14 18:52:28,7d6997015d533604f18756e59b4a2a1266a66a97,Bram Moolenaar,38,0,38,2,
2020-08-14 17:20:23,32a23ac61570365eff35097691d9b218b8539383,Bram Moolenaar,3,13,16,5,
2020-08-14 17:11:03,4ac97f476157ee0a3600e90f79f04813c418c172,Bram Moolenaar,7,1,8,2,
2020-08-14 16:56:45,32f335f75c5860baa452144f63ab7a4a3dd83134,Bram Moolenaar,8,1,9,3,
2020-08-14 16:35:07,7517ffdbb564250de72ee3ef64fecf4a486df519,Bram Moolenaar,44,1,45,3,
2020-08-14 15:08:15,c4ce36d48698669f81ec90f7c9dc9ab8c362e538,Bram Moolenaar,28,1,29,3,
2020-08-13 20:47:35,bc4c505166dc82911553206bb0c2133c6ac94aa1,Bram Moolenaar,345,310,655,18,
2020-08-13 19:40:18,cdd70f09a5340c3d7ae873f1aaaf9847f27410cc,Bram Moolenaar,11,8,19,2,
2020-08-13 19:05:39,be7529e8890f6e8a656efee8bc60c125dc8c2002,Bram Moolenaar,8,27,35,9,
2020-08-13 17:42:39,c771908681bc9ee7689d83e09104cf4c6f984326,Bram Moolenaar,4,1,5,3,
2020-08-13 17:20:04,16c6232cad40af37f37dc9c561392b7761b9e229,Bram Moolenaar,110,80,190,3,
2020-08-13 16:59:55,b96a32ef1a95dd4ebf9413d686bccb1b4645f74b,Bram Moolenaar,606,213,819,33,
2020-08-12 20:22:09,7ac616cb0a52bc72b449e19cf9db93bee116c15a,Bram Moolenaar,125,0,125,2,
2020-08-12 20:18:23,c9edd6b58218d25bfc5389af901021dc0eb82578,Bram Moolenaar,20,0,20,3,
2020-08-12 19:58:12,66e0014ba651208ab7579797866ab0e4bd9e2b49,Bram Moolenaar,8,6,14,5,
2020-08-12 19:34:49,418f1df54763b79600db1c91c880fbc1007b2e1f,Bram Moolenaar,157,12,169,10,
2020-08-12 17:42:01,fd77748df2ba7d5f38aab649cb630374620462d7,Bram Moolenaar,18,0,18,3,
2020-08-12 17:15:33,ba60cc45e786166767ca80f3dea6236d993c7971,Bram Moolenaar,24,5,29,3,
2020-08-12 16:50:36,6d91bcb4d23b5c6a0be72c384beaf385e2d9d606,Bram Moolenaar,942,873,1815,159,
